Date,BITCOIN,ETHEREUM,SOLANA
2026-05-27,75824.06,2070.83,83.61
2026-05-28,74352.7,2022.51,82.3
2026-05-29,73539.84,2007.56,81.93
2026-05-30,73382.72,2012.23,81.94
2026-05-31,73751.07,2019.18,82.54
2026-06-01,73593.37,2003.97,82.23
2026-06-02,71360.33,2003.37,81.13
2026-06-03,66649.86,1856.05,73.97
2026-06-04,64021.89,1811.35,71.68
2026-06-05,63796.25,1769.18,68.77
2026-06-06,60921.79,1580.62,63.44
2026-06-07,60861.88,1568.77,62.16
2026-06-08,63254.57,1687.04,66.24
2026-06-09,63078.44,1690.1,66.72
2026-06-10,61658.31,1637.84,64.96
2026-06-11,61492.51,1621.3,63.17
2026-06-12,63552.3,1671.89,66.74
2026-06-13,63537.74,1665.05,66.7
2026-06-14,64377.58,1678.73,68.81
2026-06-15,65713.62,1724.63,71.09
2026-06-16,66300.96,1794.05,73.96
2026-06-17,65598.94,1790.79,73.47
2026-06-18,64422.57,1747.94,71.98
2026-06-19,62900.23,1709.6,69.64
2026-06-20,63513.66,1706.22,69.41
2026-06-21,64240.23,1739.16,73.2
2026-06-22,63231.87,1704.6,72.45
2026-06-23,63957.2,1726.72,71.84
2026-06-24,62651.93,1665.0,69.61
2026-06-25,60909.0,1617.77,67.89
2026-06-26,60006.38,1574.0,68.14
